skill,salary,openings,targets_training
Guided Imagery,110600.04,5045,0
Qmail,28507.71,3835,0
RNA Isolation,141980.1,4459,1
Static Timing Analysis,58023.76,237,1
ISO 14001,104205.93,6114,1
GNU tools,118383.0,6464,1
Executive Coaching,63463.99,1919,0
Kronos Timekeeping,82883.04,5047,1
Vulcan,42596.79,2826,0
Timber,64941.41,5040,0
Tk,91371.17,6075,1
GNU Make,61140.61,3082,1
OnQ,54436.32,1244,1
NG-SDH,142824.53,4286,0
CNC Programming,68791.44,5777,1
Sybase SQL Anywhere,31480.19,1659,1
Sports Marketing,65839.91,2178,0
WWAN,44666.83,3236,0
Animal Behavior,126689.76,4158,1
Manufacturing Operations Management,90933.53,3898,1
VRS,92269.37,1840,1
Home Owners,147659.54,6784,1
GWAPT,71009.11,1582,1
Channel Partners,144843.87,1520,0
SBS,46956.38,6228,1
Welding,92343.92,1996,0
Digital Video,79893.38,5446,1
eBusiness Suite,104107.13,1737,0
Intergovernmental Affairs,126556.0,315,1
Qigong,135789.14,5398,0
Geological Mapping,99064.73,5681,0
GNU Debugger,34646.0,2209,0
Forklift Operation,56634.25,5170,1
BSP,107388.81,4927,1
Unicenter TNG,60479.85,1336,0
Kosher,99839.67,2589,1
RELAX NG,53208.75,2728,0
TV News Production,95208.86,3768,0
Appeals,69812.71,3615,0
Git,49846.01,5344,0
HTML Emails,62629.42,913,1
Short Films,136754.99,4882,1
Patrol,68007.62,3337,0
JRun,31678.9,2281,1
MPE,121140.54,7000,1
NGS,76086.18,6165,0
iLife,65593.78,2729,0
Information Security Awareness,59622.44,418,0
IBM iSeries,78668.96,4733,0
Kurzweil,67125.88,6500,1
Linux KVM,38640.41,138,0
KDB,56844.24,6742,1
SRTP,146624.92,157,0
Photoshop,44551.2,3652,0
MLOAD,21230.05,3121,0
gPROMS,59783.88,990,0
Concept HDL,71763.32,2569,1
Karaoke,102879.5,3060,0
Pulse Oximetry,75535.82,2126,1
Soft Skills,20055.03,4779,0
Hospitals,81496.15,409,0
IntelliJ IDEA,44109.01,1041,0
JNCIP,79828.16,4562,0
Web Applications,149015.45,2710,0
LN,63773.31,5301,0
IWR,121863.18,1256,1
UCCE,131549.94,2265,1
Umbrella Insurance,75293.68,5605,0
PFEP,132030.99,6112,1
SAP HR,102408.65,4483,1
TMA,141721.57,644,1
Airports,82130.81,3249,1
Amazon VPC,134807.7,1828,0
Hibernate,68590.2,3975,0
EWP,20090.62,3991,0
Java,99512.03,2853,1
Tubing,40844.73,3353,0
Certified EKG Technician,96874.92,2627,1
Summation iBlaze,123654.23,5030,1
Brand Equity,49899.45,1054,0
DWH,25292.98,3192,0
Flights,63665.23,2679,1
UFS,98307.26,4964,0
Light Rail,105798.66,3125,0
Slogans,75717.94,519,1
VMI Programs,138831.44,4627,1
AHP,111213.85,5,1
Photojournalism,87974.75,5823,1
LNA,80862.39,3807,0
Agents,75383.75,495,1
NCQA,99018.85,3156,0
AHP,78246.65,483,0
Urban Search &amp; Rescue,29949.1,6098,0
MPages,120418.14,1738,0
NFC,107504.89,4118,1
Ukrainian,105983.55,2882,0
DVB-T,67626.85,5156,0
Music Theory,39974.53,2791,1
Firewalls,56735.94,4934,0
Ambulance,68390.12,5867,1
Jiu-Jitsu,98246.75,5233,0
EP,123031.35,652,1
GXT,83353.17,310,1
